District;Zniszczenia Wojenne 1914-1920/Zniszczone budynki/Pozostające do odbudowy 01-01-1923;Zniszczenia Wojenne 1914-1920/Zniszczone budynki/Zniszczone w ogóle
AUGUSTOWSKI;2633;7459
BARANOWICKI;15030;26840
BIALSKI (BIAŁA KRAKOWSKA);0;0
BIALSKI (BIAŁA PODLASKA);4659;16379
BIAŁOSTOCKI;7584;14733
BIAŁOWIESKI;3608;4773
BIELSKI (BIELSK PODLASKI);20352;29301
BIELSKI (BIELSKO);;
BIELSKO (MIASTO);;
BIŁGORAJSKI;2163;7481
BOCHEŃSKI;829;2881
BOHORODCZAŃSKI;6717;13415
BORSZCZOWSKI;8088;10029
BRASŁAWSKI;;
BRODNICKI;0;0
BRODZKI;12642;23506
BRZESKI (BRZESKO);971;6530
BRZESKI (BRZEŚĆ N.BUG.);42330;52106
BRZEZIŃSKI;726;3620
BRZEŻAŃSKI;13270;24093
BRZOZOWSKI;105;623
BUCZACKI;9274;18667
BYDGOSKI;0;0
BYDGOSZCZ (MIASTO);0;0
BÓBRECKI;1242;5078
BĘDZIŃSKI;463;760
BŁOŃSKI;1424;4662
CHEŁMIŃSKI;0;0
CHEŁMSKI;7285;19244
CHODZIESKI;0;0
CHOJNICKI;0;0
CHRZANOWSKI;0;0
CIECHANOWSKI;631;3237
CIESZANOWSKI;3397;12146
CIESZYŃSKI;;
CZARNKOWSKI;0;0
CZORTKOWSKI;1012;4375
CZĘSTOCHOWSKI;1437;4250
DOBROMILSKI;320;928
DOLIŃSKI;2550;6549
DROHICKI;13493;16816
DROHOBYCKI;3331;5732
DUBIEŃSKI;26299;49445
DUNIŁOWICKI;;
DZIAŁDOWSKI;0;0
DZIŚNIEŃSKI;;
DĄBROWSKI;1590;3860
GARWOLIŃSKI;1095;2640
GNIEWSKI;0;0
GNIEŹNIEŃSKI;0;0
GORLICKI;762;6665
GOSTYNIŃSKI;251;718
GOSTYŃSKI;0;0
GRODZIEŃSKI;19633;25923
GRODZISKI;0;0
GRUDZIĄDZ (MIASTO);0;0
GRUDZIĄDZKI;0;0
GRYBOWSKI;43;726
GRÓDECKI;1441;4915
GRÓJECKI;487;4347
HOROCHOWSKI;8330;30551
HORODEŃSKI;3312;7238
HRUBIESZOWSKI;15557;21136
HUSIATYŃSKI;3262;7997
INOWROCŁAWSKI;0;0
IŁŻECKI;2589;15932
JANOWSKI;2056;7574
JAROCIŃSKI;0;0
JAROSŁAWSKI;5029;17469
JASIELSKI;446;2998
JAWOROWSKI;168;2975
JĘDRZEJOWSKI;541;2361
KALISKI;411;913
KAMIONECKI;5249;8527
KARTUSKI;0;0
KAŁUSKI;1382;4809
KIELECKI;543;3634
KOBRYŃSKI;17800;22050
KOLBUSZOWSKI;426;951
KOLNEŃSKI;7685;25398
KOLSKI;35;178
KONECKI;1455;4222
KONIŃSKI;0;49
KONSTANTYNOWSKI;1681;4251
KOSOWSKI (KOSÓW HUCULSKI);1775;4619
KOSOWSKI (KOSÓW POLESKI);15218;18816
KOSZYRSKI;6567;7080
KOWELSKI;14172;34249
KOZIENICKI;2273;11245
KOŁOMYJSKI;8324;10456
KOŚCIAŃSKI;0;0
KOŚCIERSKI;0;0
KOŹMIŃSKI;0;0
KRAKOWSKI;291,4178038;865,6433398
KRAKÓW (MIASTO);148,5821962;441,3566602
KRASNOSTAWSKI;3280;9994
KROTOSZYŃSKI;0;0
KROŚNIEŃSKI;379;2121
KRZEMIENIECKI;18096;26559
KUTNOWSKI;42;198
KĘPIŃSKI;0;0
LESKI;1343;6170
LESZCZYŃSKI;0;0
LIDZKI;6409;9509
LIMANOWSKI;86;160
LIPNOWSKI;10;75
LUBARTOWSKI;2199;8432
LUBAWSKI;0;0
LUBELSKI;7192,590126;10541,06008
LUBLIN (MIASTO);1064,409874;1559,939916
LUBOMELSKI;4991;10225
LWOWSKI;280,2150538;849,0322581
