District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki cukrowe,Proso
AUGUSTOWSKI,28664.0,155917.0,34726.0,87114.0,1107123.0,0.0,8.0
BIAŁOSTOCKI,51720.0,429305.0,86815.0,200570.0,2125117.0,0.0,64.0
BIELSKI (BIELSK PODLASKI),149787.0,633819.0,85811.0,203068.0,2654582.0,0.0,3387.0
GRODZIEŃSKI,69429.0,618256.0,133553.0,273289.0,2844721.0,0.0,231.0
ŁOMŻYŃSKI,143757.0,670579.0,56175.0,244789.0,3125386.0,0.0,1878.0
OSTROŁĘCKI,51250.0,333998.0,17710.0,66218.0,1700103.0,10920.0,2420.0
OSTROWSKI (OSTRÓW MAZOWIECKA),68847.0,309620.0,33801.0,85931.0,1476036.0,6444.0,998.0
SOKÓLSKI,27858.0,427217.0,53621.0,184570.0,2444784.0,0.0,0.0
SUWALSKI,38876.0,230987.0,46278.0,179155.0,1229730.0,0.0,3.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),56801.0,239758.0,36779.0,89257.0,1440515.0,0.0,846.0
WOŁKOWYSKI,50389.0,496166.0,91577.0,184021.0,2536887.0,0.0,201.0
WYSOKOMAZOWIECKI,98977.0,263679.0,36968.0,94042.0,1113576.0,6013.0,329.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,6546.0,116107.0,16391.0,20338.0,685500.0,0.0,10.0
CZĘSTOCHOWSKI,26480.0,589316.0,37650.0,115709.0,2568610.0,7255.0,5078.0
IŁŻECKI,60169.0,385779.0,136930.0,209235.0,1759719.0,0.0,3278.0
JĘDRZEJOWSKI,181041.0,304118.0,89975.0,115250.0,1762433.0,1755.0,4307.0
KIELECKI,60841.0,334329.0,56950.0,98889.0,2163942.0,0.0,3161.0
KONECKI,20257.0,332896.0,27096.0,69533.0,2123266.0,0.0,2536.0
KOZIENICKI,50029.0,424855.0,104328.0,188126.0,1971910.0,21921.0,8231.0
MIECHOWSKI,265932.0,284859.0,145434.0,242640.0,1785300.0,85975.0,7087.0
OLKUSKI,61600.0,410719.0,95595.0,150421.0,2202415.0,0.0,77.0
OPATOWSKI,207510.0,322557.0,144675.0,293320.0,1955530.0,223339.0,4893.0
OPOCZYŃSKI,38736.0,554085.0,47424.0,173319.0,2461741.0,0.0,4428.0
PIŃCZOWSKI,184851.0,253117.0,116848.0,109220.0,1200979.0,211174.0,20578.0
RADOMSKI,65889.0,711552.0,126415.0,239541.0,2793325.0,126.0,14655.0
SANDOMIERSKI,130639.0,213086.0,116742.0,145950.0,1377394.0,143578.0,14359.0
STOPNICKI,152146.0,365150.0,105902.0,144748.0,2053353.0,3329.0,23984.0
WŁOSZCZOWSKI,150956.0,387362.0,40119.0,86647.0,1844768.0,1238.0,3297.0
ZAWIERCIAŃSKI,17604.0,197149.0,23594.0,35717.0,1083720.0,0.0,134.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),15807.0,94636.0,6668.0,104089.0,699609.0,1972.0,0.0
BOCHEŃSKI,57227.0,79721.0,25678.0,54592.0,341857.0,273.0,2034.0
BRZESKI (BRZESKO),44383.0,84942.0,21060.0,56375.0,471330.0,1950.0,2308.0
CHRZANOWSKI,12726.0,111086.0,8961.0,46168.0,534842.0,0.0,647.0
DĄBROWSKI,17615.0,38820.0,13212.0,23072.0,114701.0,0.0,1288.0
GORLICKI,49682.0,62168.0,30338.0,106038.0,506158.0,0.0,156.0
JASIELSKI,67388.0,85141.0,28036.0,60731.0,456216.0,400.0,1144.0
KRAKOWSKI,124324.0,213493.0,34648.0,148496.0,1001097.0,15644.0,977.0
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,37584.0,47395.0,34195.0,93360.0,397178.0,0.0,11.0
MIELECKI,21923.0,43811.0,8348.0,20844.0,116907.0,0.0,1104.0
MYŚLENICKI,47285.0,66215.0,38272.0,129330.0,533332.0,0.0,40.0
NOWOSĄDECKI,50846.0,75562.0,55189.0,131276.0,507582.0,0.0,76.0
NOWOTARSKI,1809.0,48651.0,55907.0,288485.0,326791.0,0.0,0.0
ROPCZYCKI,73948.0,137947.0,43166.0,87625.0,830500.0,12299.0,2596.0
TARNOWSKI,69663.0,133589.0,29680.0,75538.0,641891.0,2502.0,1366.0
WADOWICKI,47875.0,110457.0,16206.0,171621.0,905963.0,13401.0,107.0
ŻYWIECKI,12101.0,63683.0,28834.0,161375.0,849641.0,0.0,0.0
BIALSKI (BIAŁA PODLASKA),79517.0,454725.0,43505.0,197619.0,2876611.0,0.0,3827.0
BIŁGORAJSKI,47471.0,195417.0,57057.0,136650.0,1131638.0,0.0,7351.0
CHEŁMSKI,233537.0,357201.0,141204.0,125008.0,1707498.0,119108.0,3879.0
GARWOLIŃSKI,71819.0,574243.0,132040.0,209906.0,2965153.0,206.0,10972.0
HRUBIESZOWSKI,357346.0,227391.0,129498.0,183505.0,1455981.0,321595.0,10216.0
JANOWSKI,126788.0,348174.0,148320.0,253178.0,2047141.0,39730.0,9149.0
KRASNOSTAWSKI,276167.0,218072.0,123177.0,156829.0,1139957.0,169755.0,6564.0
LUBARTOWSKI,72182.0,409718.0,42508.0,102270.0,1788456.0,31343.0,4412.0
LUBELSKI,397114.0,419135.0,194569.0,267455.0,2367391.0,508116.0,5849.0
ŁUKOWSKI,55350.0,536034.0,40726.0,218757.0,3027810.0,0.0,4354.0
PUŁAWSKI,104693.0,321115.0,126165.0,132194.0,1855128.0,272300.0,11824.0
RADZYŃSKI,108357.0,325450.0,22336.0,181590.0,2070183.0,11595.0,8639.0
SIEDLECKI,97811.0,471799.0,29271.0,186954.0,2777325.0,0.0,2802.0
SOKOŁOWSKI,95967.0,290272.0,38552.0,101310.0,1824498.0,115370.0,924.0
TOMASZOWSKI,239196.0,182356.0,130888.0,148710.0,1076543.0,251578.0,8716.0
WĘGROWSKI,53139.0,262749.0,29170.0,100721.0,1631690.0,32448.0,5155.0
WŁODAWSKI,82742.0,438098.0,37503.0,142153.0,2131776.0,10088.0,7922.0
ZAMOJSKI,223190.0,197303.0,120812.0,170985.0,1443948.0,141105.0,6182.0
LUBLIN (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
BÓBRECKI,108631.0,39185.0,40266.0,73819.0,902315.0,167936.0,5615.0
BRZOZOWSKI,46069.0,96540.0,32206.0,67284.0,538279.0,3614.0,496.0
