District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki cukrowe,Gryka
AUGUSTOWSKI,2904.0,15995.0,3770.0,11557.0,8956.0,0.0,1075.0
BIAŁOSTOCKI,4433.0,35607.0,6098.0,15433.0,17081.0,0.0,782.0
BIELSKI (BIELSK PODLASKI),13260.0,58099.0,5451.0,21089.0,28355.0,0.0,152411.0
GRODZIEŃSKI,7341.0,54109.0,10453.0,23629.0,23043.0,0.0,3766.0
ŁOMŻYŃSKI,11128.0,57303.0,4451.0,16092.0,27263.0,0.0,1631.0
OSTROŁĘCKI,4128.0,37176.0,1625.0,4921.0,14455.0,39.0,2033.0
OSTROWSKI (OSTRÓW MAZOWIECKA),5423.0,26747.0,2210.0,6324.0,10602.0,32.0,1251.0
SOKÓLSKI,2458.0,37055.0,4902.0,19798.0,13397.0,0.0,1357.0
SUWALSKI,3783.0,27963.0,5435.0,25322.0,11193.0,0.0,469.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),4373.0,22217.0,3074.0,7156.0,10444.0,0.0,614.0
WOŁKOWYSKI,6793.0,67294.0,11364.0,29339.0,23817.0,0.0,4152.0
WYSOKOMAZOWIECKI,7674.0,24566.0,3348.0,8674.0,10057.0,108.0,106.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,532.0,10068.0,1120.0,1713.0,6690.0,0.0,9.0
CZĘSTOCHOWSKI,2170.0,50237.0,2571.0,7861.0,21409.0,35.0,150.0
IŁŻECKI,5326.0,35985.0,13396.0,18351.0,16853.0,142.0,2638.0
JĘDRZEJOWSKI,13381.0,24474.0,7669.0,8352.0,14448.0,13.0,33.0
KIELECKI,5477.0,30771.0,5517.0,8490.0,20583.0,0.0,287.0
KONECKI,1627.0,30150.0,2288.0,5427.0,20649.0,0.0,110.0
KOZIENICKI,4097.0,38455.0,8509.0,12773.0,15379.0,153.0,1846.0
MIECHOWSKI,18896.0,22096.0,9709.0,14894.0,13118.0,544.0,42.0
OLKUSKI,4791.0,26875.0,5909.0,9019.0,17791.0,0.0,136.0
OPATOWSKI,13746.0,26140.0,11253.0,20503.0,16129.0,1563.0,174.0
OPOCZYŃSKI,3218.0,46936.0,4282.0,11086.0,19501.0,0.0,654.0
PIŃCZOWSKI,14286.0,18834.0,8259.0,8318.0,10093.0,1443.0,11.0
RADOMSKI,5870.0,57648.0,8980.0,17240.0,22914.0,0.0,942.0
SANDOMIERSKI,10808.0,17363.0,8360.0,10458.0,11854.0,1064.0,40.0
STOPNICKI,13015.0,31883.0,8251.0,12105.0,18035.0,146.0,91.0
WŁOSZCZOWSKI,8684.0,23550.0,2460.0,5270.0,12846.0,7.0,30.0
ZAWIERCIAŃSKI,1782.0,20515.0,2203.0,3307.0,11252.0,0.0,140.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),1097.0,8130.0,765.0,7263.0,7492.0,14.0,0.0
BOCHEŃSKI,8052.0,10972.0,3398.0,6879.0,7687.0,2.0,2.0
BRZESKI (BRZESKO),8498.0,13731.0,4259.0,7325.0,9870.0,9.0,7.0
CHRZANOWSKI,1366.0,11989.0,860.0,3951.0,8907.0,0.0,4.0
DĄBROWSKI,9095.0,12061.0,3483.0,5545.0,6467.0,31.0,7.0
GORLICKI,5985.0,9087.0,4686.0,12775.0,8492.0,0.0,6.0
JASIELSKI,8489.0,12543.0,4116.0,10372.0,9414.0,9.0,36.0
KRAKOWSKI,10140.0,16573.0,3066.0,9895.0,11281.0,105.0,10.0
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,5872.0,6283.0,3960.0,9433.0,7225.0,0.0,0.0
