District,Total population
AUGUSTOWSKI,0.0
BIAŁOSTOCKI,0.0
BIELSKI (BIELSK PODLASKI),0.0
GRODZIEŃSKI,0.0
ŁOMŻYŃSKI,0.0
OSTROŁĘCKI,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0
SOKÓLSKI,0.0
SUWALSKI,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0
WOŁKOWYSKI,0.0
WYSOKOMAZOWIECKI,0.0
BIAŁYSTOK (MIASTO),0.0
BĘDZIŃSKI,0.0
CZĘSTOCHOWSKI,0.0
IŁŻECKI,0.0
JĘDRZEJOWSKI,0.0
KIELECKI,0.0
KONECKI,0.0
KOZIENICKI,0.0
MIECHOWSKI,0.0
OLKUSKI,0.0
OPATOWSKI,0.0
OPOCZYŃSKI,0.0
PIŃCZOWSKI,0.0
RADOMSKI,0.0
SANDOMIERSKI,0.0
STOPNICKI,0.0
WŁOSZCZOWSKI,0.0
ZAWIERCIAŃSKI,0.0
CZĘSTOCHOWA (MIASTO),0.0
SOSNOWIEC,0.0
RADOM (MIASTO),0.0
BIALSKI (BIAŁA KRAKOWSKA),229332.0
BOCHEŃSKI,216750.0
BRZESKI (BRZESKO),192394.0
CHRZANOWSKI,233336.0
DĄBROWSKI,127434.0
GORLICKI,185036.0
JASIELSKI,213813.67605661787
KRAKOWSKI,286532.0
KRAKÓW (MIASTO),367412.0
LIMANOWSKI,156252.0
MIELECKI,144864.05471534427
MYŚLENICKI,187726.0
NOWOSĄDECKI,315678.0
NOWOTARSKI,208966.0
ROPCZYCKI,203242.32394338213
TARNOWSKI,237642.0
WADOWICKI,256260.0
ŻYWIECKI,219694.0
BIALSKI (BIAŁA PODLASKA),0.0
BIŁGORAJSKI,0.0
CHEŁMSKI,0.0
GARWOLIŃSKI,0.0
HRUBIESZOWSKI,0.0
JANOWSKI,0.0
KRASNOSTAWSKI,0.0
LUBARTOWSKI,0.0
LUBELSKI,0.0
ŁUKOWSKI,0.0
PUŁAWSKI,0.0
RADZYŃSKI,0.0
SIEDLECKI,0.0
SOKOŁOWSKI,0.0
TOMASZOWSKI,0.0
WĘGROWSKI,0.0
WŁODAWSKI,0.0
ZAMOJSKI,0.0
LUBLIN (MIASTO),0.0
BÓBRECKI,166562.0
BRZOZOWSKI,158214.0
DOBROMILSKI,177120.69164860767
DROHOBYCKI,335994.0937624869
GRÓDECKI,147451.89529170925
JAROSŁAWSKI,274166.25489669014
JAWOROWSKI,154665.1581809073
KOLBUSZOWSKI,134979.94528465573
KROŚNIEŃSKI,204254.0
LESKI,185152.0
LWOWSKI,240634.0
LWÓW (MIASTO),499254.0
ŁAŃCUCKI,187908.75842070722
MOŚCISKI,168152.0
NIŻAŃSKI,121850.0
PRZEMYSKI,293192.0
PRZEWORSKI,118104.0
RAWSKI (RAWA RUSKA),213214.0
RUDECKI,145314.10470829075
RZESZOWSKI,345799.2415792928
SAMBORSKI,231771.21458890548
SANOCKI,204334.0
SOKALSKI,197027.455058501
TARNOBRZESKI,142984.0
ŻÓŁKIEWSKI,169148.0
LUBACZOWSKI,164838.58692240258
TURCZAŃSKI,194358.0
BRZEZIŃSKI,0.0
KALISKI,0.0
KOLSKI,0.0
KONIŃSKI,0.0
ŁASKI,0.0
ŁĘCZYCKI,0.0
ŁÓDZKI,0.0
ŁÓDŹ (MIASTO),0.0
PIOTRKOWSKI,0.0
RADOMSZCZAŃSKI,0.0
SIERADZKI,0.0
TURECKI,0.0
WIELUŃSKI,0.0
POŁUDNIOWO-WARSZAWSKI,0.0
PÓŁNOCNO-WARSZAWSKI,0.0
PRASKO-WARSZAWSKI,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0
BARANOWICKI,0.0
BRASŁAWSKI,0.0
LIDZKI,0.0
NIEŚWIESKI,0.0
NOWOGRÓDZKI,0.0
SŁONIMSKI,0.0
STOŁPECKI,0.0
WOŁOŻYŃSKI,0.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),0.0
BRZESKI (BRZEŚĆ N.BUG.),0.0
DROHICKI,0.0
KOBRYŃSKI,0.0
KOSZYRSKI,0.0
ŁUNINIECKI,0.0
PIŃSKI,0.0
PRUŻAŃSKI,0.0
STOLIŃSKI,0.0
IWACEWICKI,0.0
BRODNICKI,110766.72561207658
CHEŁMIŃSKI,95388.58046478927
CHOJNICKI,139433.11311776453
DZIAŁDOWSKI,79246.0
GRUDZIĄDZ (MIASTO),71312.0
GRUDZIĄDZKI,79601.52682952583
KARTUSKI,124847.16624818285
KOŚCIERSKI,97377.37637735737
LUBAWSKI,101644.69766890556
SĘPOLEŃSKI,56128.0
STAROGARDZKI,130768.14612202915
ŚWIECKI,163652.33589192425
TCZEWSKI,116864.0
TORUŃ (MIASTO),79266.47251140037
TORUŃSKI,107796.54614122897
TUCHOLSKI,80543.46388163201
WĄBRZESKI,90819.45077207341
MORSKI,138383.1334860109
GDYNIA (MIASTO),7447.2648750989465
BYDGOSKI,105105.02058559933
BYDGOSZCZ (MIASTO),175420.97941440067
CHODZIESKI,83484.0
CZARNKOWSKI,91867.10993007185
GNIEŹNIEŃSKI,124903.29720138593
GOSTYŃSKI,118767.66614937973
INOWROCŁAWSKI,96427.6206046534
JAROCIŃSKI,168539.56978206686
KĘPIŃSKI,162767.05944322917
KOŚCIAŃSKI,155479.7268204784
KROTOSZYŃSKI,151669.3909948712
LESZCZYŃSKI,122313.42997253354
MIĘDZYCHODZKI,60262.0
MOGILEŃSKI,172665.28112405248
NOWOTOMYSKI,171295.1492660151
OBORNICKI,95482.08869682459
OSTROWSKI (OSTRÓW WIELKOPOLSKI),209690.15982517792
POZNAŃ (MIASTO),370922.0
RAWICKI,100798.35865998227
SZAMOTULSKI,132112.0
SZUBIŃSKI,92178.0
ŚREDZKI,99916.0
ŚREMSKI,112344.63835228092
WĄGROWIECKI,108704.0
WOLSZTYŃSKI,97322.0
WRZESIŃSKI,87698.0
WYRZYSKI,125062.0
ŻNIŃSKI,82163.44051902508
POZNAŃSKI,154619.63326262496
GNIEZNO (MIASTO),51298.0
INOWROCŁAW (MIASTO),54362.37939534658
DOLIŃSKI,186891.6746004717
HORODEŃSKI,160605.7315109787
KAŁUSKI,170436.0
KOŁOMYJSKI,317288.26848902134
KOSOWSKI (KOSÓW HUCULSKI),167294.0
NADWÓRNIAŃSKI,216662.0
ROHATYŃSKI,216760.0
STANISŁAWOWSKI,328968.2737849151
STRYJSKI,265433.8660938988
ŚNIATYŃSKI,145596.0
TŁUMACKI,203553.37445478863
ŻYDACZOWSKI,145762.45930562948
BIELSKI (BIELSKO),0.0
BIELSKO (MIASTO),0.0
CIESZYŃSKI,0.0
TARNOGÓRSKI,0.0
KATOWICE (MIASTO),0.0
KATOWICKI,0.0
LUBLINIECKI,0.0
PSZCZYŃSKI,0.0
RYBNICKI,0.0
ŚWIĘTOCHŁOWICKI,0.0
CHORZÓW,0.0
BORSZCZOWSKI,184641.67481223703
BRODZKI,162643.94103193394
BRZEŻAŃSKI,174349.75034740852
BUCZACKI,234015.91095652708
CZORTKOWSKI,150815.68711602775
KAMIONECKI,149632.54494149899
PODHAJECKI,158544.49531084677
PRZEMYŚLAŃSKI,159198.0
RADZIECHOWSKI,128340.05896806606
SKAŁACKI,161625.72173556936
TARNOPOLSKI,263329.20536898344
TREMBOWELSKI,168059.34210140666
ZALESZCZYCKI,126334.33137932328
ZBARASKI,130780.0
ZBOROWSKI,139626.0
ZŁOCZOWSKI,216102.0
KOPYCZYNIECKI,162532.23263196638
BŁOŃSKI,0.0
CIECHANOWSKI,0.0
GOSTYNIŃSKI,0.0
GRÓJECKI,0.0
KUTNOWSKI,0.0
LIPNOWSKI,0.0
ŁOWICKI,0.0
MAKOWSKI (MAKÓW MAZOWIECKI),0.0
MIŃSKI,0.0
MŁAWSKI,0.0
NIESZAWSKI,0.0
PŁOCKI,0.0
PŁOŃSKI,0.0
PRZASNYCKI,0.0
PUŁTUSKI,0.0
RADZYMIŃSKI,0.0
RAWSKI (RAWA MAZOWIECKA),0.0
RYPIŃSKI,0.0
SIERPECKI,0.0
SKIERNIEWICKI,0.0
SOCHACZEWSKI,0.0
WARSZAWSKI,0.0
WŁOCŁAWSKI,0.0
DUBIEŃSKI,0.0
HOROCHOWSKI,0.0
KOWELSKI,0.0
KRZEMIENIECKI,0.0
LUBOMELSKI,0.0
ŁUCKI,0.0
RÓWIEŃSKI,0.0
WŁODZIMIERSKI,0.0
KOSTOPOLSKI,0.0
ZDOŁBUNOWSKI,0.0
SARNEŃSKI,0.0
OSZMIAŃSKI,0.0
ŚWIĘCIAŃSKI,0.0
WILNO (MIASTO),0.0
DZIŚNIEŃSKI,0.0
WILEJSKI,0.0
WILEŃSKO-TROCKI,0.0
POSTAWSKI,0.0
MOŁODECZAŃSKI,0.0
