District,Powierzchnia plantacji (ha),Przeciętny zbiór z ha,Ogólny zbiór
AUGUSTOWSKI,0.0,0.0,0.0
BIAŁOSTOCKI,0.0,0.0,0.0
BIELSKI (BIELSK PODLASKI),0.0,0.0,0.0
GRODZIEŃSKI,0.0,0.0,0.0
ŁOMŻYŃSKI,0.0,0.0,0.0
OSTROŁĘCKI,0.0,0.0,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0,0.0,0.0
SOKÓLSKI,0.0,0.0,0.0
SUWALSKI,0.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0,0.0,0.0
WOŁKOWYSKI,0.0,0.0,0.0
WYSOKOMAZOWIECKI,0.0,0.0,0.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0
BĘDZIŃSKI,0.0,0.0,0.0
CZĘSTOCHOWSKI,0.0,0.0,0.0
IŁŻECKI,0.0,0.0,0.0
JĘDRZEJOWSKI,0.0,0.0,0.0
KIELECKI,0.0,0.0,0.0
KONECKI,0.0,0.0,0.0
KOZIENICKI,0.0,0.0,0.0
MIECHOWSKI,0.0,0.0,0.0
OLKUSKI,0.0,0.0,0.0
OPATOWSKI,1679.0,205.0,344195.0
OPOCZYŃSKI,0.0,0.0,0.0
PIŃCZOWSKI,1282.0,180.0,230760.0
RADOMSKI,0.0,0.0,0.0
SANDOMIERSKI,1804.0,198.0,357192.0
STOPNICKI,0.0,0.0,0.0
WŁOSZCZOWSKI,0.0,0.0,0.0
ZAWIERCIAŃSKI,0.0,0.0,0.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),0.0,0.0,0.0
BOCHEŃSKI,0.0,0.0,0.0
BRZESKI (BRZESKO),0.0,0.0,0.0
CHRZANOWSKI,0.0,0.0,0.0
DĄBROWSKI,0.0,0.0,0.0
GORLICKI,0.0,0.0,0.0
JASIELSKI,0.0,0.0,0.0
KRAKOWSKI,0.0,0.0,0.0
KRAKÓW (MIASTO),0.0,0.0,0.0
LIMANOWSKI,0.0,0.0,0.0
MIELECKI,0.0,0.0,0.0
MYŚLENICKI,0.0,0.0,0.0
NOWOSĄDECKI,0.0,0.0,0.0
NOWOTARSKI,0.0,0.0,0.0
ROPCZYCKI,0.0,0.0,0.0
TARNOWSKI,0.0,0.0,0.0
WADOWICKI,0.0,0.0,0.0
ŻYWIECKI,0.0,0.0,0.0
BIALSKI (BIAŁA PODLASKA),0.0,0.0,0.0
BIŁGORAJSKI,0.0,0.0,0.0
CHEŁMSKI,1091.0,242.0,264022.0
GARWOLIŃSKI,0.0,0.0,0.0
HRUBIESZOWSKI,3294.6369117729155,135.82909397848343,442108.64411912474
JANOWSKI,1717.0,157.0,269569.0
KRASNOSTAWSKI,0.0,0.0,0.0
LUBARTOWSKI,0.0,0.0,0.0
LUBELSKI,4841.5813659424975,125.75536015435058,619722.4148406397
ŁUKOWSKI,0.0,0.0,0.0
PUŁAWSKI,2983.0,180.0,536940.0
RADZYŃSKI,0.0,0.0,0.0
SIEDLECKI,0.0,0.0,0.0
SOKOŁOWSKI,851.0,210.0,178710.0
TOMASZOWSKI,1328.3630882270847,178.17090602151657,239105.35588087523
WĘGROWSKI,0.0,0.0,0.0
WŁODAWSKI,0.0,0.0,0.0
ZAMOJSKI,1411.0,175.0,246925.0
LUBLIN (MIASTO),86.41863405750281,2.2446398456494236,11061.58515936036
BÓBRECKI,2763.0,160.0,442080.0
BRZOZOWSKI,3015.0,172.0,518580.0
DOBROMILSKI,0.0,0.0,0.0
DROHOBYCKI,0.0,0.0,0.0
GRÓDECKI,0.0,0.0,0.0
JAROSŁAWSKI,0.0,0.0,0.0
JAWOROWSKI,0.0,0.0,0.0
KOLBUSZOWSKI,0.0,0.0,0.0
KROŚNIEŃSKI,0.0,0.0,0.0
LESKI,0.0,0.0,0.0
LWOWSKI,0.0,0.0,0.0
LWÓW (MIASTO),0.0,0.0,0.0
ŁAŃCUCKI,0.0,0.0,0.0
MOŚCISKI,0.0,0.0,0.0
NIŻAŃSKI,0.0,0.0,0.0
PRZEMYSKI,0.0,0.0,0.0
PRZEWORSKI,0.0,0.0,0.0
RAWSKI (RAWA RUSKA),0.0,0.0,0.0
RUDECKI,0.0,0.0,0.0
RZESZOWSKI,0.0,0.0,0.0
SAMBORSKI,0.0,0.0,0.0
SANOCKI,0.0,0.0,0.0
SOKALSKI,0.0,0.0,0.0
TARNOBRZESKI,0.0,0.0,0.0
ŻÓŁKIEWSKI,0.0,0.0,0.0
LUBACZOWSKI,0.0,0.0,0.0
TURCZAŃSKI,0.0,0.0,0.0
BRZEZIŃSKI,0.0,0.0,0.0
KALISKI,1825.0,225.0,410625.0
KOLSKI,0.0,0.0,0.0
KONIŃSKI,0.0,0.0,0.0
ŁASKI,0.0,0.0,0.0
ŁĘCZYCKI,1868.0,265.0,495020.0
ŁÓDZKI,0.0,0.0,0.0
ŁÓDŹ (MIASTO),0.0,0.0,0.0
PIOTRKOWSKI,0.0,0.0,0.0
RADOMSZCZAŃSKI,0.0,0.0,0.0
SIERADZKI,0.0,0.0,0.0
TURECKI,726.0,181.0,131406.0
WIELUŃSKI,1260.0,170.0,214200.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0
BARANOWICKI,0.0,0.0,0.0
BRASŁAWSKI,0.0,0.0,0.0
LIDZKI,0.0,0.0,0.0
NIEŚWIESKI,0.0,0.0,0.0
NOWOGRÓDZKI,0.0,0.0,0.0
SŁONIMSKI,0.0,0.0,0.0
STOŁPECKI,0.0,0.0,0.0
WOŁOŻYŃSKI,0.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),0.0,0.0,0.0
BRZESKI (BRZEŚĆ N.BUG.),0.0,0.0,0.0
