Region;District;Total population
BIAŁOSTOCKIE;AUGUSTOWSKI;
BIAŁOSTOCKIE;BIAŁOSTOCKI;
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);
BIAŁOSTOCKIE;GRODZIEŃSKI;
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);
BIAŁOSTOCKIE;OSTROŁĘCKI;
BIAŁOSTOCKIE;SOKÓLSKI;
BIAŁOSTOCKIE;SUWALSKI;
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);
BIAŁOSTOCKIE;WOŁKOWYSKI;
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;
BIAŁOSTOCKIE;ŁOMŻYŃSKI;
KIELECKIE;BĘDZIŃSKI;
KIELECKIE;CZĘSTOCHOWA (MIASTO);
KIELECKIE;CZĘSTOCHOWSKI;
KIELECKIE;IŁŻECKI;
KIELECKIE;JĘDRZEJOWSKI;
KIELECKIE;KIELECKI;
KIELECKIE;KONECKI;
KIELECKIE;KOZIENICKI;
KIELECKIE;MIECHOWSKI;
KIELECKIE;OLKUSKI;
KIELECKIE;OPATOWSKI;
KIELECKIE;OPOCZYŃSKI;
KIELECKIE;PIŃCZOWSKI;
KIELECKIE;RADOM (MIASTO);
KIELECKIE;RADOMSKI;
KIELECKIE;SANDOMIERSKI;
KIELECKIE;SOSNOWIEC;
KIELECKIE;STOPNICKI;
KIELECKIE;WŁOSZCZOWSKI;
KIELECKIE;ZAWIERCIAŃSKI;
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);139127
KRAKOWSKIE;BOCHEŃSKI;113790
KRAKOWSKIE;BRZESKI (BRZESKO);102226
KRAKOWSKIE;CHRZANOWSKI;138061
KRAKOWSKIE;DĄBROWSKI;66678
KRAKOWSKIE;GORLICKI;104805
KRAKOWSKIE;JASIELSKI;116146
KRAKOWSKIE;KRAKOWSKI;187509
KRAKOWSKIE;KRAKÓW (MIASTO);219286
KRAKOWSKIE;LIMANOWSKI;87279
KRAKOWSKIE;MIELECKI;77465
KRAKOWSKIE;MYŚLENICKI;102692
KRAKOWSKIE;NOWOSĄDECKI;183867
KRAKOWSKIE;NOWOTARSKI;129489
KRAKOWSKIE;ROPCZYCKI;110925
KRAKOWSKIE;TARNOWSKI;142365
KRAKOWSKIE;WADOWICKI;145143
KRAKOWSKIE;ŻYWIECKI;130949
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);
LUBELSKIE;BIŁGORAJSKI;
LUBELSKIE;CHEŁMSKI;
LUBELSKIE;GARWOLIŃSKI;
LUBELSKIE;HRUBIESZOWSKI;
LUBELSKIE;JANOWSKI;
LUBELSKIE;KRASNOSTAWSKI;
LUBELSKIE;LUBARTOWSKI;
LUBELSKIE;LUBELSKI;
LUBELSKIE;LUBLIN (MIASTO);
LUBELSKIE;PUŁAWSKI;
LUBELSKIE;RADZYŃSKI;
LUBELSKIE;SIEDLECKI;
LUBELSKIE;SOKOŁOWSKI;
LUBELSKIE;TOMASZOWSKI;
LUBELSKIE;WĘGROWSKI;
LUBELSKIE;WŁODAWSKI;
LUBELSKIE;ZAMOJSKI;
LUBELSKIE;ŁUKOWSKI;
LWOWSKIE;BRZOZOWSKI;83205
LWOWSKIE;BÓBRECKI;97124
LWOWSKIE;DOBROMILSKI;93970
LWOWSKIE;DROHOBYCKI;194456
LWOWSKIE;GRÓDECKI;85007
LWOWSKIE;JAROSŁAWSKI;148028
LWOWSKIE;JAWOROWSKI;86762
LWOWSKIE;KOLBUSZOWSKI;69565
LWOWSKIE;KROŚNIEŃSKI;113387
LWOWSKIE;LESKI;111575
LWOWSKIE;LUBACZOWSKI;87266
LWOWSKIE;LWOWSKI;142800
LWOWSKIE;LWÓW (MIASTO);312231
LWOWSKIE;MOŚCISKI;89460
LWOWSKIE;NIŻAŃSKI;64233
LWOWSKIE;PRZEMYSKI;162544
LWOWSKIE;PRZEWORSKI;61388
LWOWSKIE;RAWSKI (RAWA RUSKA);122072
LWOWSKIE;RUDECKI;79170
LWOWSKIE;RZESZOWSKI;185106
LWOWSKIE;SAMBORSKI;133814
LWOWSKIE;SANOCKI;114195
LWOWSKIE;SOKALSKI;109111
LWOWSKIE;TARNOBRZESKI;73297
LWOWSKIE;TURCZAŃSKI;114457
LWOWSKIE;ŁAŃCUCKI;97679
LWOWSKIE;ŻÓŁKIEWSKI;95507
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;
NOWOGRÓDZKIE;BARANOWICKI;
NOWOGRÓDZKIE;BRASŁAWSKI;
NOWOGRÓDZKIE;LIDZKI;
NOWOGRÓDZKIE;NIEŚWIESKI;
NOWOGRÓDZKIE;NOWOGRÓDZKI;
NOWOGRÓDZKIE;STOŁPECKI;
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);
NOWOGRÓDZKIE;SŁONIMSKI;
NOWOGRÓDZKIE;WOŁOŻYŃSKI;
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);
POLESKIE;DROHICKI;
POLESKIE;IWACEWICKI;
POLESKIE;KOBRYŃSKI;
POLESKIE;KOSZYRSKI;
POLESKIE;PIŃSKI;
POLESKIE;PRUŻAŃSKI;
POLESKIE;STOLIŃSKI;
POLESKIE;ŁUNINIECKI;
POMORSKIE;BRODNICKI;56287
