District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Gryka
AUGUSTOWSKI,32937.0,181800.0,43175.0,129729.0,1192985.0,5753.0
BIAŁOSTOCKI,52556.0,419092.0,60385.0,162947.0,1810394.0,3541.0
BIELSKI (BIELSK PODLASKI),109727.0,519479.0,51572.0,159033.0,2910668.0,7446.0
GRODZIEŃSKI,79819.0,465618.0,103016.0,191645.0,2326062.0,16012.0
ŁOMŻYŃSKI,109690.0,618314.0,47112.0,207216.0,3460712.0,12996.0
OSTROŁĘCKI,40771.0,392299.0,17028.0,65962.0,1492336.0,15385.0
OSTROWSKI (OSTRÓW MAZOWIECKA),62125.0,292504.0,29074.0,94353.0,1463274.0,10305.0
SOKÓLSKI,23602.0,358859.0,51158.0,162338.0,1430639.0,5794.0
SUWALSKI,32684.0,213744.0,54935.0,244610.0,925977.0,2127.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),44613.0,208996.0,29973.0,91941.0,1233430.0,4827.0
WOŁKOWYSKI,48371.0,607304.0,80190.0,199759.0,2140636.0,14330.0
WYSOKOMAZOWIECKI,72307.0,246960.0,38104.0,104347.0,1342989.0,981.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,6595.0,115369.0,12920.0,22010.0,634004.0,67.0
CZĘSTOCHOWSKI,26082.0,497307.0,29224.0,118262.0,2251237.0,1094.0
IŁŻECKI,63673.0,353836.0,145361.0,234720.0,2355446.0,17159.0
JĘDRZEJOWSKI,166843.0,258188.0,89422.0,107149.0,1868287.0,98.0
KIELECKI,47668.0,279774.0,48915.0,104539.0,2068076.0,1742.0
KONECKI,16420.0,279651.0,22584.0,64702.0,1988652.0,627.0
KOZIENICKI,47937.0,385153.0,108780.0,178408.0,2037875.0,12925.0
MIECHOWSKI,300794.0,340910.0,130134.0,223034.0,1789812.0,332.0
OLKUSKI,62674.0,308218.0,61679.0,112128.0,1816537.0,943.0
OPATOWSKI,189198.0,326613.0,139092.0,291834.0,2375798.0,1274.0
OPOCZYŃSKI,35342.0,469797.0,49473.0,146048.0,2559580.0,4115.0
PIŃCZOWSKI,198380.0,246481.0,103247.0,126056.0,1198713.0,140.0
RADOMSKI,74339.0,629680.0,111888.0,234911.0,3436970.0,8270.0
SANDOMIERSKI,156932.0,226026.0,123003.0,166334.0,1701867.0,269.0
STOPNICKI,153158.0,336673.0,92057.0,154980.0,2414449.0,630.0
WŁOSZCZOWSKI,112030.0,295905.0,32924.0,79687.0,1691945.0,185.0
ZAWIERCIAŃSKI,18450.0,172222.0,20423.0,32662.0,835726.0,811.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),15679.0,110766.0,10886.0,95784.0,960171.0,0.0
BOCHEŃSKI,74771.0,107597.0,36681.0,90058.0,934172.0,16.0
BRZESKI (BRZESKO),77735.0,117510.0,39972.0,84632.0,1069297.0,60.0
CHRZANOWSKI,19283.0,122001.0,9116.0,53566.0,667566.0,40.0
DĄBROWSKI,97302.0,108163.0,29756.0,56373.0,702803.0,70.0
GORLICKI,57400.0,91265.0,59862.0,152506.0,890258.0,48.0
JASIELSKI,75117.0,106340.0,32559.0,124089.0,982019.0,196.0
KRAKOWSKI,120768.0,197437.0,39768.0,128290.0,1262961.0,83.0
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
